nombre,financiamiento,provincia,localidad,internacion,camas
AMBULANCIAS URBANAS,Privado,Buenos Aires,La Plata (La Plata),No,0.0
AMBULANCIAS CASSINO,Privado,Buenos Aires,Escobar (Loma Verde),No,0.0
AMBULANCIAS DE TRASLADOS TIGRE SA,Privado,Buenos Aires,San Fernando (San Fernando),No,0.0
AMBULANCIAS DEL VALLE SA,Privado,Buenos Aires,Morón (Haedo),No,0.0
AMBULANCIAS FERREYRA,Privado,Buenos Aires,La Matanza (Ramos Mejía),No,0.0
AMBULANCIAS LA PLATA,Privado,Buenos Aires,La Plata (La Plata),No,0.0
AMBULANCIAS MEDICAS NORTE (SPEMM),Privado,Buenos Aires,General San Martín,No,0.0
AMBULANCIAS TRASB.A.M.,Privado,Buenos Aires,Lanús (Remedios Escalada de San Martín),No,0.0
AMBULANCIAS URBANAS,Privado,Buenos Aires,La Plata (La Plata),No,0.0
AMBULANCIAS Y TRASLADOS NORTE SRL,Privado,Buenos Aires,General San Martín (Barrio Parque General San Martín),No,0.0
AMERICA CONSULTORIOS MEDICOS,Privado,Buenos Aires,Tres de Febrero (Saénz Peña),No,0.0
AMI MEDICINA INTEGRAL SA,Privado,Buenos Aires,San Miguel (San Miguel),No,0.0
AMN AMBULANCIAS MEDICAS NORTE,Privado,Buenos Aires,General San Martín (Villa Libertad),No,0.0
ANEXO HOSPITAL MUNICIPAL DR. ENRIQUE VILBAZO,Público,Buenos Aires,Trenque Lauquen,No,0.0
ANTALGOS SA CONDULTORIO DE LA MATANZA,Privado,Buenos Aires,La Matanza (Lomas del Mirador),No,0.0
ANTE TODO RESISTIRE (HOSPITAL DE DIA ONCOLOGICO),Privado,Buenos Aires,San Pedro,No,0.0
APAND BARADERO,Privado,Buenos Aires,Baradero,No,0.0
APS MOVIL DR. HORACIO DUPUY,Público,Buenos Aires,Escobar (Belén de Escobar),No,0.0
APTA - ASESORAMIENTO PREVENCION Y TRATAMIENTO DE LAS ADICCIONES,Privado,Buenos Aires,Vicente López (Vicente López),No,0.0
AREA PROG. Y OPERAC. DE EMERG. SOCIAL Y SANIT,Público,Buenos Aires,José C. Paz (José C. Paz),No,0.0
ARGUS DIAGNOSTICO MEDICO,Privado,Buenos Aires,San Miguel (San Miguel),No,0.0
ASINT MED SRL,Privado,Buenos Aires,La Plata (La Plata),No,0.0
ASISTE URMED SA - EMERGENCIAS,Privado,Buenos Aires,Merlo (Merlo),No,0.0
ASISTEM SERVICIO DE AMBULANCIAS PARA EL TRASLADO DE PACIENTES SIN RIESGO DE VIDA,Privado,Buenos Aires,San Andrés de Giles,No,0.0
ASISTENCIA MEDICA BOLIVAR (AMBO) SRL,Privado,Buenos Aires,San Carlos de Bolívar (Est. Bolívar),No,0.0
ASISTENCIA Y PRESTACIONES DE SALUD SA APRESA SA,Privado,Buenos Aires,La Plata (La Plata),No,0.0
ASISTENCIAL PRIVADO SAN JUAN,Privado,Buenos Aires,Avellaneda (Dock Sud),No,0.0
ASISTIR MEDICINA EN SU HOGAR,Privado,Buenos Aires,Vicente López (Vicente López),No,0.0
ASISTIR MEDICINA EN SU HOGAR S.R.L. (ID),Privado,Buenos Aires,Quilmes (Quilmes),No,0.0
ASOCIACION CIVIL ANDAR (D),Privado,Buenos Aires,Moreno (La Reja),No,0.0
ASOCIACION CIVIL CALIDOSCOPIO (D),Privado,Buenos Aires,La Matanza (Villa Luzuriaga),No,0.0
ASOCIACION CIVIL COMUNITARIA SUIPACHA PARA TODOS,Público,Buenos Aires,Suipacha,No,0.0
ASOCIACION CRISTIANA EL BUEN SAMARITANO,Privado,Buenos Aires,La Plata (La Plata),No,0.0
ASOCIACION JUVENIL ARAUCANA,Privado,Buenos Aires,Vicente López (Munro),No,0.0
ASOCIACION MUTUAL DEL CENTRO DE EMPLEADOS DE COMERCIO,Privado,Buenos Aires,Lomas de Zamora (Lomas de Zamora),No,0.0
ASOCIACION MUTUAL DEL NOROESTE,Privado,Buenos Aires,Junín,No,0.0
ASOCIACION NICOLEÑA ANTIPOLIOMIELITICA Y DE REHABILITACION DEL LISIADO ANARL,Privado,Buenos Aires,San Nicolás de los Arroyos (San Nicolás de los Arroyos ),No,0.0
ASOCIACION PARA LA LUCHA CONTRA LA PARALISIS INFANTIL ALPI,Privado,Buenos Aires,Chacabuco,No,0.0
ASOCIACION PLATENSE DE REHABILITACION APLAR,Privado,Buenos Aires,La Plata (La Plata),No,0.0
AT HOME CUIDADOS DOMICILIARIOS (ID),Privado,Buenos Aires,Vicente López (Olivos),No,0.0
ATENCION INTEGRAL DEL NIÑO Y EL ADOLESCENTE,Privado,Buenos Aires,San Fernando (Victoria),No,0.0
ATENCION MEDICA DOMICILIARIA SRL,Privado,Buenos Aires,La Plata (La Plata),No,0.0
ATENCION PRIMARIA BARRIO MARINA,Público,Buenos Aires,Morón (Castelar),No,0.0
AYECAS SRL,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
AYTHUE (DISCAPACIDAD),Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
BABY SHOWER ECOGRAFIAS 3D,Privado,Buenos Aires,Vicente López (Olivos),No,0.0
BAIRES HOUSE EXCELENCIA DOMICILIARIA,Privado,Buenos Aires,La Matanza (San Justo),No,0.0
BARRIO HIPODROMO SALON CAPILLA,Público,Buenos Aires,Empalme Lobos,No,0.0
BINCAGE SALUD SA,Privado,Buenos Aires,Olavarría,No,0.0
BOIMAN SA RESONANCIA NUCLEAR MAGNETICA,Privado,Buenos Aires,Tres Arroyos,No,0.0
BREAST CLINICA DE LA MAMA,Privado,Buenos Aires,La Plata (La Plata),No,0.0
BRIO SALUD,Privado,Buenos Aires,Tigre (Don Torcuato Este),No,0.0
BUSINESS SALUD,Privado,Buenos Aires,Tres de Febrero (Santos Lugares),No,0.0
C Y W MEDICAL CENTER,Privado,Buenos Aires,Campana,No,0.0
C.A.M.I.P.E.E.,Público,Buenos Aires,Esteban Echeverría (Monte Grande),No,0.0
C.E.D.I.O. CENTRO DE DIA OCUPACIONAL NUEVO ESPACIO (D),Privado,Buenos Aires,Lanús (Lanús Este),No,0.0
C.E.M.R.A. (D),Privado,Buenos Aires,La Plata (La Plata),No,0.0
C.E.P. (ID),Privado,Buenos Aires,La Plata (La Plata),No,0.0
C.E.R.E. CENTRO DE ENFERMEDADES RENALES EZPELETA SA,Privado,Buenos Aires,Quilmes (Ezpeleta),No,0.0
C.I.P.R.I.J. SA (CENTRO INTEGRAL PSICOPEDAGOGICO DE RECUPERACION INFANTO JUVENIL SA),Privado,Buenos Aires,Lanús (Lanús Oeste),No,0.0
C.O.R.P.I CENTRO OLAVARRIENSE DE REHABILITACION PARALISIS INFANTIL,Privado,Buenos Aires,Olavarría,No,0.0
CAFER CENTRO DE AYUDA A LA FAMILIA EN RIESGO,Público,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CALARA DEL MAR S.A,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CAMEP CONSULTORIO DE ATENCION MEDICA PRIVADA,Privado,Buenos Aires,Tigre (General Pacheco),No,0.0
CAPI CONSULTORIOS,Privado,Buenos Aires,Moreno (Moreno),No,0.0
CAPS DR. DI SANTO,Público,Buenos Aires,San Antonio de Areco,No,0.0
CAPS BARRIO BELGRANO DE MAIPU,Público,Buenos Aires,Maipú (Maipú),No,0.0
CAPS BARRIO BELGRANO DE MIRAMAR,Público,Buenos Aires,Miramar,No,0.0
CAPS BARRIO BOCA,Público,Buenos Aires,Tres Arroyos,No,0.0
CAPS BARRIO OESTE DE MIRAMAR,Público,Buenos Aires,Miramar,No,0.0
CAPS BARRIO PROGRESO,Público,Buenos Aires,Rojas,No,0.0
CAPS BARRIO PUERTO,Público,Buenos Aires,Necochea - Quequén (Necochea),No,0.0
CAPS BARRIO SANTA TERESA,Público,Buenos Aires,Rojas,No,0.0
CAPS BARRIO UNION,Público,Buenos Aires,Rojas,No,0.0
CAPS BENITO MACHADO,Público,Buenos Aires,Tres Arroyos,No,0.0
CAPS CANAL,Público,Buenos Aires,Tigre (Tigre),No,0.0
CAPS CARUPA,Público,Buenos Aires,Tigre (Tigre),No,0.0
CAPS CIC GRAL. PINTO,Público,Buenos Aires,General Pinto,No,0.0
CAPS DR DOMINGUEZ,Público,Buenos Aires,San Antonio de Areco,No,0.0
CAPS DR. TYRRELL,Público,Buenos Aires,San Antonio de Areco,No,0.0
CAPS GENERAL SAN MARTIN,Público,Buenos Aires,Necochea - Quequén (Necochea),No,0.0
CAPS GRAND BOURG SUR,Público,Buenos Aires,Malvinas Argentinas (Grand Bourg),No,0.0
CAPS JOSE ESCOBEDO,Público,Buenos Aires,Carmen de Areco,No,0.0
CAPS JUAN DOMINGO PERON,Público,Buenos Aires,Ayacucho,No,0.0
CAPS LA CUMPARSITA ESPINEL BAVIO,Público,Buenos Aires,Capitán Sarmiento,No,0.0
CAPS LA LOMA,Público,Buenos Aires,Capitán Sarmiento,No,0.0
CAPS LA LUISA,Público,Buenos Aires,La Luisa,No,0.0
CAPS LA PALOMITA,Público,Buenos Aires,Luján,No,0.0
CAPS LOS PIONEROS,Público,Buenos Aires,Campana,No,0.0
CAPS N° 1 DEL PINO,Público,Buenos Aires,Campana,No,0.0
CAPS N° 1 NUESTRA SEÑORA DEL CARMEN,Público,Buenos Aires,Junín,No,0.0
CAPS N° 10,Público,Buenos Aires,Campana,No,0.0
CAPS N° 11 BO. SANTA LUCIA,Público,Buenos Aires,Campana,No,0.0
CAPS N° 12 SAN FELIPE,Público,Buenos Aires,Campana,No,0.0
CAPS N° 14 LAS PRADERAS,Público,Buenos Aires,Campana,No,0.0
CAPS N° 15 RIO PARANA,Público,Buenos Aires,Campana,No,0.0
CAPS N° 16 SAN JACINTO,Público,Buenos Aires,Campana,No,0.0
CAPS N° 17,Público,Buenos Aires,Campana,No,0.0
CAPS N° 18 BO. SIDERCA,Público,Buenos Aires,Campana,No,0.0
CAPS N° 2 OTAMENDI,Público,Buenos Aires,Campana,No,0.0
CAPS N° 20 BARRIO SARMIENTO,Público,Buenos Aires,Campana,No,0.0
CAPS N° 21 ALBIZOLA,Público,Buenos Aires,Campana,No,0.0
CAPS N° 22 CANAL IRIGOYEN,Público,Buenos Aires,Campana,No,0.0
CAPS N° 22 LOMA VERDE,Público,Buenos Aires,Almirante Brown (Malvinas Argentinas),No,0.0
CAPS N° 23,Público,Buenos Aires,Campana,No,0.0
CAPS N° 24 BARRIO SIGLO XX DE ESTEBAN ECHEVERRIA,Público,Buenos Aires,Esteban Echeverría (El Jagüel),No,0.0
CAPS N° 25 BARRIO 9 DE JULIO DE CAMPANA (EX CENTRO PERIF. N° 19),Público,Buenos Aires,Campana,No,0.0
CAPS N° 25 BO. 9 DE JULIO,Público,Buenos Aires,Campana,No,0.0
CAPS N° 26,Público,Buenos Aires,Campana,No,0.0
CAPS N° 3 DE MEDANOS,Público,Buenos Aires,Médanos (Médanos),No,0.0
CAPS N° 3 PRADO ESPAÑOL,Público,Buenos Aires,Junín,No,0.0
CAPS N° 4,Público,Buenos Aires,Mayor Buratovich,No,0.0
CAPS N° 5,Público,Buenos Aires,Campana,No,0.0
CAPS N° 6,Público,Buenos Aires,Campana,No,0.0
CAPS N° 7,Público,Buenos Aires,Campana,No,0.0
CAPS N° 8 ISLAS,Público,Buenos Aires,Campana,No,0.0
CAPS N° 9 LOS ALMENDROS,Público,Buenos Aires,Junín,No,0.0
CAPS NESTOR KIRCHNER,Público,Buenos Aires,Ayacucho,No,0.0
CAPS Nº 1 LAS MALVINAS DE GENERAL RODRIGUEZ,Público,Buenos Aires,General Rodríguez,No,0.0
CAPS Nº 21 PRESIDENTE PERON,Público,Buenos Aires,Almirante Brown (Claypole),No,0.0
CAPS RAMON CARRILLO,Público,Buenos Aires,Laprida,No,0.0
CAPS RAMON CARRILLO,Público,Buenos Aires,San Andrés de Giles,No,0.0
CAPS SAN CAYETANO,Público,Buenos Aires,Capitán Sarmiento,No,0.0
CAPS TERESA DE CALCUTA,Público,Buenos Aires,Necochea - Quequén (Necochea),No,0.0
CAPS TRONCOS DEL TALAR,Público,Buenos Aires,Tigre (Los Troncos del Talar),No,0.0
CAPS VILLA VATTEONE,Público,Buenos Aires,Florencio Varela (Villa Vatteone),No,0.0
CARDIOSUR EMERGENCIAS MEDICAS,Privado,Buenos Aires,Avellaneda (Avellaneda),No,0.0
CAREI (D),Privado,Buenos Aires,La Plata (La Plata),No,0.0
CASA DE AUXILIO DE RAMOS MEJIA,Privado,Buenos Aires,La Matanza (Ramos Mejía),No,0.0
CASA DE MEDIO CAMINO AMBULATORIO MAR DEL PLATA,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CASTELAR,Privado,Buenos Aires,Morón (Castelar),No,0.0
CATAMARAN,Público,Buenos Aires,Zárate,No,0.0
CATAMARAN CENTRO DE SALUD FLOTANTE,Privado,Buenos Aires,Zárate,No,0.0
CATAMARAN SANITARIO DR. LUIS PEREYRA,Público,Buenos Aires,Tigre (Tigre),No,0.0
CD ASISTENCIA SRL (ID),Privado,Buenos Aires,Coronel Brandsen,No,0.0
CE.M.E.T.R.I. (CENTRO MUNICIPAL DE ESTIMULACION TEMPRANA Y REHABILITACION INTEGRAL),Público,Buenos Aires,Ituzaingó (Ituzaingó Centro),No,0.0
CE.RE.LU - CENTRO DE REHABILITACION DE LUJAN,Privado,Buenos Aires,Luján,No,0.0
CEAR CENTRO DE ASISTENCIA DE ADOLESCENTES EN RIESGO,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CECO AMMBA SALUD,Privado,Buenos Aires,Olavarría,No,0.0
CEFO CENTRO ESTETICO FLEBOLOGICO OESTE,Privado,Buenos Aires,Ituzaingó (Ituzaingó Centro),No,0.0
CEGA,Privado,Buenos Aires,Campana,No,0.0
CELTA COOPERATIVA DE OBRAS SERVICIOS PUBLICOS Y SERVICIOS SOCIALES LIMITIDA DE TRES ARROYOS,Privado,Buenos Aires,Tres Arroyos,No,0.0
CEM CENTRO DE EMERGENCIAS MEDICAS,Privado,Buenos Aires,San Nicolás de los Arroyos (San Nicolás de los Arroyos ),No,0.0
CEM CENTRO DE EMERGENCIAS MEDICAS BASE BARADERO,Privado,Buenos Aires,Baradero,No,0.0
CEM CENTRO DE EMERGENCIAS MEDICAS BASE RAMALLO,Privado,Buenos Aires,Ramallo,No,0.0
CEM CENTRO DE EMERGENCIAS MEDICAS BASE SAN PEDRO SPEMM,Privado,Buenos Aires,San Pedro,No,0.0
CEMAP CENTRO MEDICO DE ATENCION PRIMARIA MARIO ANDRE,Privado,Buenos Aires,Lomas de Zamora (Lomas de Zamora),No,0.0
CEMAP CONSTRUIR SALUD,Privado,Buenos Aires,San Miguel (San Miguel),No,0.0
CEMAP DR. RAMON CARRILLO,Privado,Buenos Aires,Quilmes (Quilmes),No,0.0
CEMEBA EMERGENCIAS MEDICAS MOVILES,Privado,Buenos Aires,Escobar (Belén de Escobar),No,0.0
CEMEDIM,Privado,Buenos Aires,25 de Mayo,No,0.0
CEMFYR SAN LAZARO,Privado,Buenos Aires,Lanús (Lanús Oeste),No,0.0
CEMYR SRL,Privado,Buenos Aires,Esteban Echeverría (Monte Grande),No,0.0
CENASMA,Privado,Buenos Aires,La Plata (La Plata),No,0.0
CENEA ASOCIACION PROYECTO SUR,Privado,Buenos Aires,La Plata (La Plata),No,0.0
CENPIA SA CENTRO DE ESTUDIO NEUROPSIQUIATRICO PSICOLOGICO INTEGRAL AMBULATORIO,Privado,Buenos Aires,La Plata (La Plata),No,0.0
CENTAURI SRL,Privado,Buenos Aires,La Plata (La Plata),No,0.0
CENTERMED,Privado,Buenos Aires,Berazategui (Berazategui),No,0.0
CENTO DE SALUD GENERAL PACHECO,Público,Buenos Aires,Tigre (General Pacheco),No,0.0
CENTRO ALTER,Privado,Buenos Aires,Quilmes (Quilmes),No,0.0
CENTRO AMBULATORIO DE CLINICA PRIVADA ALBERT SCHWEITZER,Privado,Buenos Aires,Morón (Castelar),No,0.0
CENTRO AMBULATORIO DE CLINICA PSIQUIATRICA PRIVADA ALBERT SCHWEITZER,Privado,Buenos Aires,Ituzaingó (Ituzaingó Centro),No,0.0
CENTRO AMBULATORIO DE DIAGNOSTICO POR IMAGENES MEDICEN,Privado,Buenos Aires,Florencio Varela (Florencio Varela),No,0.0
CENTRO AMBULATORIO DE DIAGNOSTICO Y TRATAMIENTO SIGMA,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CENTRO AMBULATORIO DEL DIAGNOSTICO Y TRATAMIENTO DE PEQUEÑAS CIRUGIAS Y ENDOSCOPIAS SAN JOSE,Privado,Buenos Aires,Necochea - Quequén (Necochea),No,0.0
CENTRO AMBULATORIO PARA ATENCION DE TRASTORNOS ALIMENTARIOS,Privado,Buenos Aires,Almirante Brown (Rafael Calzada),No,0.0
CENTRO APOYO AL DISCAPACITADO CADAF,Privado,Buenos Aires,La Matanza (González Catán),No,0.0
CENTRO ASISTENCIAL ABSALON ROJAS,Público,Buenos Aires,San Fernando (San Fernando),No,0.0
CENTRO ASISTENCIAL AMPLIACION DEVOTO,Público,Buenos Aires,Grand Bourg,No,0.0
CENTRO ASISTENCIAL BARRIO ACEVEDO,Público,Buenos Aires,Pergamino,No,0.0
CENTRO ASISTENCIAL BARRIO CHENAUT SALA LOS OMBUES,Público,Buenos Aires,Capilla del Señor (Est. Capilla),No,0.0
CENTRO ASISTENCIAL BARRIO PEECH,Público,Buenos Aires,Tortuguitas,No,0.0
CENTRO ASISTENCIAL DE REHABILITACION DEL DISCAPACITADO PSIQUICO PSICO CARDIP,Privado,Buenos Aires,La Plata (La Plata),No,0.0
CENTRO ASISTENCIAL DR. ANGEL BO,Privado,Buenos Aires,Morón (Castelar),No,0.0
CENTRO ASISTENCIAL HILARIO ASCASUBI,Público,Buenos Aires,Hilario Ascasubi,No,0.0
CENTRO ASISTENCIAL JURAMENTO,Público,Buenos Aires,Moreno (Moreno),No,0.0
CENTRO ASISTENCIAL LOS ANGELES,Público,Buenos Aires,Tortuguitas,No,0.0
CENTRO ASISTENCIAL MONSEÑOR LODIGIANI,Público,Buenos Aires,La Plata (La Plata),No,0.0
CENTRO ASISTENCIAL MUNICIPAL DON BOSCO,Público,Buenos Aires,Quilmes (Don Bosco),No,0.0
CENTRO ASISTENCIAL NAZARET,Público,Buenos Aires,Lomas de Zamora (Bandfield),No,0.0
CENTRO ASISTENCIAL PIEDRITAS,Público,Buenos Aires,Piedritas,No,0.0
CENTRO ASISTENCIAL RAMON CARRILLO,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CENTRO ASISTENCIAL REGIONAL DE HEMOTERAPIA,Privado,Buenos Aires,Bahía Blanca (Bahía Blanca),No,0.0
CENTRO ASISTENCIAL SAN JORGE,Público,Buenos Aires,Villa de Mayo,No,0.0
CENTRO ASISTENCIAL SU SALUD,Privado,Buenos Aires,Berazategui (Berazategui),No,0.0
CENTRO ASISTENCIAL SUIZO INFICO,Público,Buenos Aires,José C. Paz (José C. Paz),No,0.0
CENTRO ASISTENCIAL TRAILER BARRIO PIÑEIRO,Público,Buenos Aires,José C. Paz (José C. Paz),No,0.0
CENTRO ASISTENCIAL UNION Y PROGRESO,Público,Buenos Aires,Los Polvorines,No,0.0
CENTRO ASISTENCIAL UNIVERSITARIO,Público,Buenos Aires,General San Martín,No,0.0
CENTRO ASISTENCIAL VILLA DEL CARMEN,Público,Buenos Aires,Quilmes (Quilmes Oeste),No,0.0
CENTRO ATENCION PRIMARIA CATALINA DE LALLI,Público,Buenos Aires,Escobar (Belén de Escobar),No,0.0
CENTRO ATENCION PRIMARIA DE LA SALUD DR. RAMON CARRILLO,Público,Buenos Aires,San Isidro (San Isidro),No,0.0
CENTRO ATENCION PRIMARIA PARA LA SALUD BARRIO CHINO,Público,Buenos Aires,Mar de Ajó - San Bernardo (Mar de Ajó),No,0.0
CENTRO ATENCION PRIMARIA SAN BERNARDO,Público,Buenos Aires,Mar de Ajó - San Bernardo (Mar de Ajó),No,0.0
CENTRO ATENCION PRIMARIA SOCIO SANITARIA ALDO CLERICI,Público,Buenos Aires,General Rojo,No,0.0
CENTRO ATENCION PRIMARIA SOCIO SANITARIA GRAL. SAVIO (SOMISA),Público,Buenos Aires,San Nicolás de los Arroyos (San Nicolás de los Arroyos ),No,0.0
CENTRO ATENCION PRIMARIA SOCIO SANITARIA LOS PROVINCIANOS,Público,Buenos Aires,San Nicolás de los Arroyos (San Nicolás de los Arroyos ),No,0.0
CENTRO ATENCION PRIMARIA SOCIO SANITARIA VIRGEN DEL ROSARIO,Público,Buenos Aires,San Nicolás de los Arroyos (San Nicolás de los Arroyos ),No,0.0
CENTRO ATLANTICO DE MEDICINA NUCLEAR,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CENTRO CERRADO ALMAFUERTE,Público,Buenos Aires,La Plata (José Melchor Romero),No,0.0
CENTRO COMUNITARIO BARRIO SANTA TERESITA,Público,Buenos Aires,Arrecifes,No,0.0
CENTRO COMUNITARIO DE SALUD CEDEPO,Público,Buenos Aires,Florencio Varela (Florencio Varela),No,0.0
CENTRO COMUNITARIO POLIVALENTE,Público,Buenos Aires,Carlos Tejedor,No,0.0
CENTRO COMUNITARIO ROBERTO PAYRO,Público,Buenos Aires,Roberto J. Payró,No,0.0
CENTRO COMUNITARIO VERONICA,Público,Buenos Aires,Verónica,No,0.0
CENTRO COMUNITARIO VILLA ALICIA,Público,Buenos Aires,Pergamino,No,0.0
CENTRO CONTRA EL DOLOR,Privado,Buenos Aires,La Plata (La Plata),No,0.0
CENTRO DE ADELGAZAMIENTO INTENSIVO,Privado,Buenos Aires,Morón (Castelar),No,0.0
CENTRO DE ASISTENCIA TERAPEUTICA INTERDISCIPLINARIA HARMOS,Privado,Buenos Aires,Morón (Haedo),No,0.0
CENTRO DE ATANCION INTERDISCIPLINARIA,Privado,Buenos Aires,Morón (Morón),No,0.0
CENTRO DE ATENCION DR. RURILIO MANUEL ZUCCHERINO,Público,Buenos Aires,América,No,0.0
CENTRO DE ATENCION 24 HS HUGO PANZARDI,Público,Buenos Aires,San Nicolás de los Arroyos (San Nicolás de los Arroyos ),No,0.0
CENTRO DE ATENCION AMBULATORIA DE BAJA COMPLEJIDAD PARA LA ESPECIALIDAD DE ORTOPEDIA TRAUMATOLOGIA Y AFINES CENTRO RAQUIS,Privado,Buenos Aires,La Plata (La Plata),No,0.0
CENTRO DE ATENCION AMBULATORIA UNION SALUD,Privado,Buenos Aires,Mar del Plata (Mar del Plata),No,0.0
CENTRO DE ATENCION AMBULATORIO DE LANUS/ CENTRO INTEGRAL PARA LA FAMILIA,Privado,Buenos Aires,Lanús (Lanús Oeste),No,0.0
CENTRO DE ATENCION DE ETS,Público,Buenos Aires,Moreno (Moreno),No,0.0
CENTRO DE ATENCION DE LA TERCERA EDAD,Público,Buenos Aires,Ituzaingó (Ituzaingó Centro),No,0.0
CENTRO DE ATENCION DEL HOSPITAL BRITANICO,Privado,Buenos Aires,Vicente López (Vicente López),No,0.0
CENTRO DE ATENCION EN SALUD MENTAL,Privado,Buenos Aires,Vicente López (Munro),No,0.0
CENTRO DE ATENCION MEDICA OBRA SOCIAL DEL PERSONAL DE INDUSTRIAS QUIMICAS Y PETROQUIMICAS ZARATE,Privado,Buenos Aires,Zárate,No,0.0
CENTRO DE ATENCION PESOA,Público,Buenos Aires,San Vicente,No,0.0
CENTRO DE ATENCION PRIMARIA,Público,Buenos Aires,Tandil,No,0.0
CENTRO DE ATENCION PRIMARIA ASENCIO E IBARBIA (EX FALUCHO),Público,Buenos Aires,Saladillo,No,0.0
CENTRO DE ATENCION PRIMARIA BARRIO ROCCO,Público,Buenos Aires,Mar de Ajó - San Bernardo (Mar de Ajó),No,0.0
CENTRO DE ATENCION PRIMARIA CONDUCIR SALUD,Privado,Buenos Aires,Esteban Echeverría (Monte Grande),No,0.0
CENTRO DE ATENCION PRIMARIA CONDUCIR SALUD,Privado,Buenos Aires,Tres de Febrero (Caseros),No,0.0
CENTRO DE ATENCION PRIMARIA COSTA AZUL,Público,Buenos Aires,Costa Azul,No,0.0
CENTRO DE ATENCION PRIMARIA DARDO DECIMA,Público,Buenos Aires,Las Flores,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD BARRIO BELGRANO,Público,Buenos Aires,Maipú (Maipú),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD BELGRANO,Público,Buenos Aires,Tigre (Don Torcuato Este),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD DE GARDEY,Público,Buenos Aires,Gardey,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD DE UNZUE JOSE BUSQUET SERRA,Público,Buenos Aires,San Carlos de Bolívar (Est. Bolívar),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD DR RENEE FAVALORO,Público,Buenos Aires,General Juan Madariaga (General Juan Madariaga),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD DR. FRANCISCO RAVASSI,Público,Buenos Aires,San Carlos de Bolívar (Est. Bolívar),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD DR. WASHINGTON GONZALEZ,Público,Buenos Aires,San Carlos de Bolívar (Est. Bolívar),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD E. OLIVERO,Público,Buenos Aires,Tandil,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD EL ARCO,Público,Buenos Aires,Tigre (Benavídez),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD FACUNDO QUIROGA,Público,Buenos Aires,Mercedes,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD HIPOLITO YRIGOYEN,Público,Buenos Aires,Mercedes,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD INTENDENTE PEDRO CAROSSI ALSINA,Público,Buenos Aires,Baradero,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD JOSE P. ASTIGUETA,Público,Buenos Aires,Baradero,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD LUIS DEPAU,Público,Buenos Aires,Tandil,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD LUIS F. LELOIR,Público,Buenos Aires,Baradero,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD MARTIN GUEMES,Público,Buenos Aires,Mercedes,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD N° 1,Público,Buenos Aires,Pedro Luro,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD N° 2 DE COLONIA SAN ADOLFO,Público,Buenos Aires,Colonia San Adolfo,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD N° 2 DE COLONIA SAN ADOLFO,Público,Buenos Aires,Hilario Ascasubi,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD N° 3,Público,Buenos Aires,Médanos (Médanos),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD N° 3 DE CAMPANA,Público,Buenos Aires,Campana,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD OPEN DOOR,Público,Buenos Aires,Open Door (Est. Dr. Domingo Cabred) (Open Door),No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD PADRE VARELA,Público,Buenos Aires,Luján,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD SAN FRANCISCO,Público,Buenos Aires,Mercedes,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD SAN PATRICIO,Público,Buenos Aires,Lezama,No,0.0
CENTRO DE ATENCION PRIMARIA DE LA SALUD TOMAS JOFRE,Público,Buenos Aires,Tomás Jofré,No,0.0
