id,institucion,provincia,localidad,direccion,cp,telefono,email,horario_atencion,tipo_api,lat,lon
1402,Comisaría,CATAMARCA,Villa Dolores (Valle Viejo),Derminio Moreno 44,,(0383) 4444604/4437024,,24 hs,Comisaria,-28.5656021,-65.71340090000001
1403,Central Telefónica De La Fiscalía De Instrucción Penal,CATAMARCA,Villa Dolores (Valle Viejo),Junín 632,,(0383) 4437685/89,,Lunes a Viernes de 8 a 13 hs,Legal,-28.5656021,-65.71340090000001
1404,Comisaría,CATAMARCA,Villa Dolores (Valle Viejo),Pasaje Higinio Rizzo (Entre Acuña y Padre Esquiú),,(0383) 4437024,,24 hs,Comisaria,-28.44111, -65.71111
1405,Juzgado De Paz,CATAMARCA,Villa Dolores (Valle Viejo),Higinio Risso S/N,,(0383) 4437024,,Lunes a Viernes de 8 a 13 hs,Legal,-28.5656021,-65.71340090000001
1406,Área Mujer,FORMOSA,Formosa Capital,Hipólito Yrigoyen 267,P3600GIE,(0370) 4436372/4436669,secretariadelamujer@formosa.gov.ar,Lunes a Viernes de 8 a 13 hs y de 16 a 20 hs,Mujer,-26.1860473,-58.1658942
1407,Juzgado De Paz 1°,FORMOSA,Formosa Capital,Territorios Nacionales 670,,(0370) 4436376,,Lunes a Viernes de 7:30 a 13 hs y Guardia de 24 hs,Legal,-25.2847676,-57.7385509
1408,Juzgado De Paz 2°,FORMOSA,Formosa Capital,Avenida González Lelong 662,,(0370) 4455100,,Lunes a Viernes de 7:30 a 13 hs y Guardia de 24 hs,Legal,-26.1759384,-58.1750181
1409,Oficina De Violencia Intrafamiliar,FORMOSA,Formosa Capital,Saavedra 389,,(0370) 4426140 (interno: 186),violenciafliar1@jusformosa.gob.ar,Lunes a Viernes de 7 a 12:30 hs,Mujer,-26.1811259,-58.1694316
1410,Comisaría,FORMOSA,General Mansilla,Avenida Belgrano S/N (Esquina Sarmiento),,(0370) 4497202,,24 hs,Comisaria,-26.6542683,-58.6243668
1411,Comisaría,FORMOSA,Herradura,Avenida San Martín y Buenos Aires,,(0370) 4499022/6348,,24 hs,Comisaria,-26.4869232,-58.3108749
1412,Juzgado De Paz,FORMOSA,Herradura,Avenida Libertador San Martín y Buenos Aires S/N,,(0370) 4499070,,Lunes a Viernes de 8 a 13 hs,Legal,-26.486322605026515,-58.31247925758362
1413,Comisaría,FORMOSA,Ingeniero Juarez,Salta y Rivadavia,,(03711) 420355/4502,,24 hs,Comisaria,-23.9,-61.85
1414,Juzgado De Paz,FORMOSA,Ingeniero Juarez,Avenida Degen S/N,,(03711) 420050,,Lunes a Viernes de 8 a 13 hs,Legal,-23.900983383511125,-61.85401439666748
1415,Comisaría,FORMOSA,Comandante Fontana,Tomas Rojas y Antártida Argentina,,(03716) 480201/480202,,24 hs,Comisaria,-25.3347988,-59.6819153
1416,Juzgado De Paz,FORMOSA,Comandante Fontana,Magin Guerrero S/N,,(03716) 480204,,Lunes a Viernes de 8 a 13 hs,Legal,-25.334135472880955,-59.67651128768921
1417,Hospital “Comandante Fontana”,FORMOSA,Comandante Fontana,Marcelo Tomas Rojas 730,,Sin teléfono de linea,,24 hs,Salud,-25.333049401759712,-59.682776927948
1418,Comisaría,FORMOSA,Estanislao Del Campo,General Belgrano y Pringles,,(03716) 493181/4001,,24 hs,Comisaria,-25.0537643,-60.0935555
1419,Juzgado De Paz,FORMOSA,Estanislao Del Campo,San Bianchi S/N (Esquina Rivadavia),,(03716) 493076,,Lunes a Viernes de 8 a 13 hs,Legal,-25.055278593971675,-60.0912880897522
1420,Hospital Provincial “General Belgrano”,FORMOSA,General Belgrano,Avenida Libertador S/N,,(03716) 491014,,24 hs,Salud,-24.93872837945802,-59.02581810951233
1421,Comisaría,FORMOSA,General Belgrano,Ruta Nacional 86 y Avenida Libertador,,(03716) 491013/3000,,24 hs,Comisaria,-24.9402778,-59.027499999999975
1422,Juzgado De Paz,FORMOSA,General Belgrano,Avenida Libertador S/N,,(03716) 491144,,Lunes a Viernes de 8 a 13 hs,Legal,-24.93853380988553,-59.02781367301941
1423,Comisaría,FORMOSA,Ibarreta,Doctor Jorge Newbery 723,,(03716) 432267/1502,,24 hs,Comisaria,-25.2150536,-59.8573494
1424,Juzgado De Paz,FORMOSA,Ibarreta,Martín Polo y Avenida 25 De Mayo,,(03716) 432427,,Lunes a Viernes de 8 a 13 hs,Legal,-25.212997985021182,-59.86101508140564
1425,Comisaría,FORMOSA,Las Lomitas,Fontana 627,,(03715) 432101/1000,,24 hs,Comisaria,-24.7045002,-60.6005783
1426,Juzgado De Paz,FORMOSA,Pozo Del Tigre,Fontana y Hernán Clota Charpentier,,(03715) 493058,,Lunes a Viernes de 8 a 13 hs,Legal,-24.8647825,-60.2265661
1427,Comisaría,FORMOSA,San Martin Dos,Avenida Docentes Argentinos E Yrigoyen,,Sin teléfono de linea,,24 hs,Comisaria,-24.434444,-59.654444
1428,Comisaría,FORMOSA,Villa General Güemes,Avenida San Martín S/N,,(03716) 492018,,24 hs,Comisaria,-24.7542992,-59.4886818
1429,Juzgado De Paz,FORMOSA,Villa General Güemes,Vélez Sarsfield S/N,,(03716) 492002,,Lunes a Viernes de 8 a 13 hs,Legal,-24.75602888591429,-59.48845624923706
1430,Comisaría,FORMOSA,El Espinillo,Avenida 9 Julio S/N y 2 De Abril,,(03718) 480155/480150,,24 hs,Comisaria,-24.9666667,-58.5666667
1431,Municipalidad,FORMOSA,El Espinillo,Güemes 3615,,(03718) 480095,,Lunes a Viernes de 8 a 13 hs,Mujer,-24.9666667,-58.5666667
1432,Hospital Provincial “Clorinda”,FORMOSA,Clorinda,Avenida General José De San Martín y Los Andes,,(03718) 422800,,24 hs,Salud,-25.28645553787871,-57.72038698196411
1433,Comisaría,FORMOSA,Clorinda,"Doctor Paleari y Rosa Shipper, Manzana 130",,(03718) 424924,,24 hs,Comisaria,-25.287831,-57.748857799999996
1434,Oficina De Violencia Familiar,FORMOSA,Clorinda,Rivadavia 444,,(03718) 421783,,Lunes a Viernes de 7:30 a 12:30 hs,Mujer,-25.2906308,-57.711229600000024
1435,Juzgado De Paz,FORMOSA,Clorinda,Cochabamba y Segunda Proyectada,,(03718) 424888,,Lunes a Viernes de 8 a 13 hs,Legal,-25.290529821011574,-57.743529081344604
1436,Asociación Civil Centro De Mujeres Clorindenses,FORMOSA,Clorinda,Belgrano 671,,(03718) 426615,,Lunes a Viernes de 16 a 20 hs,Niñez / Familia,-25.2810504,-57.72590739999998
1437,Hospital Rural “Laguna Blanca”,FORMOSA,Laguna Blanca,Esteban Florentín y Aldo Billini S/N,,(03718) 470020,,24 hs,Salud,-25.1296501,-58.2451477
1438,Comisaría,FORMOSA,Laguna Blanca,Avenida San Martín e Hipólito Irigoyen,,(03718) 470043/5001,,24 hs,Comisaria,-25.125790871793075,-58.24006497859955
1439,Juzgado De Paz,FORMOSA,Laguna Blanca,Belgrano y María Candelaria Godoy,,(03718) 470317,,Lunes a Viernes de 8 a 13 hs,Legal,-25.12657767487372,-58.241180777549744
1440,Hospital Rural,FORMOSA,Laguna Blanca,San Martín S/N,,(03718) 491127,,24 hs,Salud,-25.125965717360014,-58.24100911617279
1441,Subcomisaria,FORMOSA,Laguna Naick Neck,Avenida Labradora y Fontana S/N,,(03718) 491035/1131,,24 hs,Comisaria,-25.2209911,-58.1226387
1442,Comisaría,FORMOSA,El Colorado,Avenida 25 Mayo 293,,(0370) 4480047,,24 hs,Comisaria,-26.3091354,-59.3717155
1443,Hospital Provincial “El Colorado”,FORMOSA,El Colorado,Santa Fe 281,,(0370) 4480024,,24 hs,Salud,-26.310015868275233,-59.37291741371155
1444,Juzgado De Paz,FORMOSA,El Colorado,25 De Mayo 575,,(0370) 4481855,,Lunes a Viernes de 8 a 13 hs,Legal,-26.308380894523367,-59.37330365180969
1445,Departamento De La Mujer Y Ancianidad,FORMOSA,Mayor E. Villafañe,Padre Ferlini e Hipólito Yrigoyen,,(0370) 4490019,munimv@arnet.com,Lunes a Viernes de 6 a 12 hs,Mujer,-26.2028713,-59.0752487
1446,Comisaría,FORMOSA,Mayor E. Villafañe,Avenida Independencia 510,,(0370) 4490190/1600,,24 hs,Comisaria,-26.20442623001142,-59.07767057418823
1447,Juzgado De Paz,FORMOSA,Pirane,9 De Julio 640,,(0370) 4461049,,Lunes a Viernes de 8 a 13 hs,Legal,-25.7317829,-59.1068687
1448,Comisaría,FORMOSA,General Mosconi,General Mosconi Centro (Entre Avenida 9 De Julio y 2 De Abril),,(03711) 494040,,24 hs,Comisaria,-23.216,-62.3
1449,Defensoría De Menores E Incapaces N° 1,RÍO NEGRO,San Carlos De Bariloche,Avenida 12 De Octubre 751 ( 1° P),,(0294) 4426241/4430870,,Lunes a Viernes de 8 a 13 hs,Legal,-41.133472,-71.310278
1450,Oficina De La Mujer De Viedma,RÍO NEGRO,Viedma,Laprida y 25 de Mayo,,(02920) 425001 (interno: 1408),oficinadelamujer@jusrionegro.gov.ar,Lunes a Viernes de 8 a 13 hs,Mujer,-40.808470,-62.996710
1451,Destacamento,RÍO NEGRO,General Roca,Vintter 1379,,(0298) 4440251,,24 hs,Comisaria,-39.026753,-67.575172
1452,Grupo De Ayuda Mutua Ante La Violencia Familiar “Manos Entrelazadas”.,RÍO NEGRO,Allen,14 de Abril 567,,(02941) 450106/52547,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.9657593,-67.83233640000003
1453,Acción Social,RÍO NEGRO,Chimpay,Aime Paine 164,,(02946) 494721,,Lunes a Viernes de 8 a 13 hs,Mujer,-39.1662598,-66.14868160000003
1455,Comisaría 1°,RÍO NEGRO,Viedma,Alem 246 y Mitre,,(02920) 422111,,24 hs,Comisaria,-40.813614,-62.993202
1456,Centro Periférico Villa Obrera,RÍO NEGRO,General Roca,Alsina (Entre Rosario De Santa Fé y Cipolletti),,Sin Teléfono,,24 hs,Salud,-39.026753,-67.575172
1457,Consejo Local De La Mujer,RÍO NEGRO,Viedma,Álvaro Barros 1508,,Sin teléfono de linea,,Lunes a Viernes de 8 a 13 hs,Mujer,-40.816963,-63.004438
1459,Comisaría 30°,RÍO NEGRO,Viedma,Aróstegui S/N,,(02920) 424330,,24 hs,Comisaria,-40.811909,-62.996204
1460,Acción Social,RÍO NEGRO,Choele Choel,Avenida San Martn 1327,,(02946) 442151,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-39.2879906,-65.6653976
1462,Defensoría Civil N° 1/3/5 De Pobres Y Ausentes,RÍO NEGRO,San Carlos De Bariloche,Avenida 12 De Octubre 751 (1°P),,(0294) 4430870/4426241,,Lunes a Viernes de 8 a 13 hs,Legal,-41.133472,-71.310278
1463,Defensoría Del Pueblo,RÍO NEGRO,Viedma,Avenida 25 De Mayo 565,,(02920) 422045,,Lunes a Viernes de 8 a 13 hs,Legal,-40.807895,-62.995454
1464,Centro Integrador Comunitario,RÍO NEGRO,El Bolson,Avenida San Martin S/N,,(0294) 4455951,,Lunes a Viernes de 8 a 13 hs,Centro Integrador Comunitario,-41.967770,-71.515511
1465,Oficina De Atención A La Victima,RÍO NEGRO,San Carlos De Bariloche,Avenida 12 de Octubre 705 (PB),,(0294) 4423164/4427410,,Lunes a Viernes de 7:30 a 15:30 hs Denuncias: de 7 a 19 hs,Mujer,-41.133472,-71.310278
1466,Promoción Familiar,RÍO NEGRO,Maquinchao,Avenida Independencia 643,,(0294) 491335,,Lunes a Viernes de 8 a 13 hs,Mujer,-41.24604799999999,-68.69969179999998
1467,Área Mujer,RÍO NEGRO,Ministro Ramos Mexía,Avenida San Martin,,(02934) 491017,,Lunes a Viernes de 8 a 13 hs,Mujer,-40.5075684,-67.26037600000001
1468,Comisaría 31°,RÍO NEGRO,General Roca,Paraná y Panamá,,(0298) 4435288,,24 hs,Comisaria,-38.930509,-67.975245
1469,Comisaría 21°,RÍO NEGRO,General Roca,Eva Perón y Libertad 2647,,(0298) 4436718,,24 hs,Comisaria,-38.939768,-67.987859
1470,Consejo Provincial De La Mujer,RÍO NEGRO,Viedma,Belgrano 866,,(02920) 427894,,Lunes a Viernes de 8 a 14 hs,Mujer,-40.810758,-62.998219
1471,Acción Social,RÍO NEGRO,San Antonio Oeste,Brown 286,,(02934) 422138/430766,,Lunes a Viernes de 8 a 13 hs,Mujer,-40.7428017,-64.96765140000002
1472,Promoción Familiar,RÍO NEGRO,Cipolletti,Buenos Aires 1440,,(0299) 4778737,,Lunes a Viernes de 8 a 14 hs,Mujer,-38.9254542,-68.00406169999996
1473,Comisaría 76°,RÍO NEGRO,Viedma,Calle 22 y 19,,(02920) 426741,,24 hs,Comisaria,-40.811909,-62.996204
1474,Municipalidad,RÍO NEGRO,Luis Beltran,Casa De Tucumán 481,,(02946) 410033,,Lunes a Viernes de 8 a 13 hs,Mujer,-39.31514,-65.76376299999998
1475,Centro Periférico 4 Galpones,RÍO NEGRO,General Roca,Chacra 169 (Entre Traful y Adaro),,Sin Teléfono,,24 hs,Salud,-39.026753,-67.575172
1476,Centro Periférico Barrio Nuevo,RÍO NEGRO,General Roca,Churrinches 1526,,Sin Teléfono,,24 hs,Salud,-39.026755,-67.575174
1477,Municipalidad,RÍO NEGRO,Campo Grande (General Roca),Cipolletti 49,,(0299) 4973173,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.6824194,-68.21116089999998
1478,Centro Periférico Noroeste,RÍO NEGRO,General Roca,Colón 2855,,Sin Teléfono,,24 hs,Salud,-39.026753,-67.575172
1479,Comisaría 6°,RÍO NEGRO,Allen,Don Bosco 347,,(0298) 4450501/101,,24 hs,Comisaria,-38.9657593,-67.83233640000003
1480,Hospital De Allen,RÍO NEGRO,Allen,Don Bosco y Quesnel,,(02984) 453650/4452530,,24 hs,Salud,-38.9657593,-67.83233640000003
1481,Municipalidad,RÍO NEGRO,Lamarque,Doctor Molino y Rivadavia,,(02946) 497157/497738,,Lunes a Viernes de 8 a 13 hs,Mujer,-39.4196053,-65.70011899999997
1482,Centro Periférico Mosconi,RÍO NEGRO,General Roca,Elías Cetone y Mosconi S/N,,Sin Teléfono,,24 hs,Salud,-39.026753,-67.575172
1483,Municipalidad,RÍO NEGRO,Cipolletti,Esmeralda 1870,,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.9209,-67.990537
1484,Centro Periférico Islas Malvinas,RÍO NEGRO,General Roca,Foteringham (Entre Irlanda y Alemania),,Sin Teléfono,,24 hs,Salud,-38.949749,-68.068932
1485,Juzgado De Familia 9,RÍO NEGRO,San Carlos De Bariloche,Gallardo 1291 (1º P),,(0294) 4432152,,Lunes a Viernes de 8 a 13 hs,Legal,-41.133472,-71.310278
1486,Juzgado De Familia 7,RÍO NEGRO,San Carlos De Bariloche,Gallardo 1299 (PB),,(0294) 4423611,,Lunes a Viernes de 8 a 13 hs,Legal,-41.133472,-71.310278
1487,Hospital “Francisco López Lima”,RÍO NEGRO,General Roca,Gelonch 721 y Avenida Roca,,(0298) 4435856/5848,,24 hs,Salud,-39.026753,-67.575172
1488,Oficina De Salud Mental,RÍO NEGRO,General Roca,Gelonch 721 y Avenida Roca,,(0298) 4435852 (interno: 159),,24 hs,Salud,-39.026755,-67.575174
1489,Municipalidad,RÍO NEGRO,Valcheta,Hipólito Irigoyen 193,,(02934) 493066,,Lunes a Viernes de 8 a 13 hs,Mujer,-40.68331149999999,-66.1618805
1490,Municipalidad,RÍO NEGRO,Cipolletti,Hipólito Irigoyen 379,,(0299) 4494900,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.9380585,-67.99629570000002
1491,Consejo Municipal De La Mujer,RÍO NEGRO,Cipolletti,Hipólito Irigoyen 379 (9° P),,(0299) 4434765,,Lunes a Viernes de 8 a 14 hs,Mujer,-38.9380585,-67.99629570000002
1492,Centro Periférico Chacra Monte,RÍO NEGRO,General Roca,Ismael Basse (Entre Las Jarillas y Las Retamas S/N),,Sin Teléfono,,24 hs,Salud,-39.026754,-67.575173
1493,Acción Social,RÍO NEGRO,Conesa,Julio Roca 512,,(02931) 498235,,Lunes a Viernes de 8 a 13 hs,Mujer,-40.105649292032886,-64.45515632629394
1495,Oficina De Atención A La Víctima Del Ministerio Público,RÍO NEGRO,Viedma,Laprida 144,,(02920) 427068 (interno: 106),,Lunes a Viernes de 8 a 13 hs,Mujer,-40.810612,-63.004436
1498,Violencia Familiar,RÍO NEGRO,Viedma,Las Heras 750,,(02920) 425383/424322,,Lunes a Viernes de 8 a 13 hs,Legal,-40.826477,-62.989798
1499,Municipalidad,RÍO NEGRO,Allen,Libertad 189,,(0298) 4452502,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.9657593,-67.83233640000003
1500,Juzgado De Paz,RÍO NEGRO,Allen,Libertad 339,,(0298) 4450194,,Lunes a Viernes de 8 a 13 hs,Legal,-38.9393581,-67.98773990000001
1501,Secretaría De Género Y Juventud,RÍO NEGRO,Ingeniero Jacobacci,Libertad y José Ingenieros,,Sin teléfono de linea,,Lunes a Viernes de 8 a 13 hs,Mujer,-41.328527,-69.549302
1502,Comisaría 2°,RÍO NEGRO,San Carlos De Bariloche,Libertad E Independencia,,(02944) 422772,,24 hs,Comisaria,-41.133472,-71.310278
1503,Acción Social,RÍO NEGRO,Cordero,Los Manzanares,,(0299) 4952054,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.9151181,-67.9729772
1504,Centro Integrador Comunitario,RÍO NEGRO,El Bolson,Mallin Ahogado S/N,,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Centro Integrador Comunitario,-41.967770,-71.515511
1505,Comisaría 34°,RÍO NEGRO,Viedma,México 114,,(02920) 424270,,24 hs,Comisaria,-40.815454,-63.008777
1506,Secretaría De Desarrollo Humano,RÍO NEGRO,Viedma,Misiones Salesianas 20,,(02920) 428398,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-40.819715,-62.977084
1507,Centro Periférico J. J Gómez,RÍO NEGRO,General Roca,Mitre 5000,,Sin Teléfono,,24 hs,Salud,-39.026753,-67.575172
1508,Defensoría Del Pueblo,RÍO NEGRO,San Carlos De Bariloche,"Mitre 86 (2° P, Oficina G)",,(0294) 4423147/4424121,,Lunes a Viernes de 9 a 13 hs,Legal,-41.133472,-71.310278
1509,Secretaria De Derechos Humanos,RÍO NEGRO,San Carlos De Bariloche,Morales 517,,(0294) 4422430,,Lunes a Viernes de 8 a 13:30 hs,Mujer,-41.136913,-71.310543
1511,Promoción Familiar,RÍO NEGRO,San Carlos De Bariloche,Moreno 1435,,(0294) 4428617/4426570/4422849,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-41.133472,-71.310278
1512,Hospital Zonal De Bariloche,RÍO NEGRO,San Carlos De Bariloche,Moreno 601,,(0294) 4426100/4425117/4426119 (interno: 359/460),,24 hs,Salud,-41.135728,-71.299961
1513,"Hospital "" Pedro Moguillansky""",RÍO NEGRO,Cipolletti,Naciones Unidas y Venezuela,,(0299) 4776600/107,,24 hs,Salud,-38.92616386866033,-67.99410581588745
1514,Unidad Ejecutora Local,RÍO NEGRO,San Carlos De Bariloche,Onelli 1450,,(0294) 4400021,uelbariloche@hotmail.com,Lunes a Viernes de 9 a 13 hs,Mujer,-41.147026,-71.299331
1515,Delegación Del Ministerio De Trabajo Provincial,RÍO NEGRO,San Carlos De Bariloche,Onelli 1450,,(0294) 4426634,,Lunes a Viernes de 8 a 13 hs,Legal,-41.1470261,-71.299331
1517,Centro Integrador Comunitario,RÍO NEGRO,El Bolson,Paraje El Foyel,,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Centro Integrador Comunitario,-41.967770,-71.515511
1518,Centro Integrador Comunitario,RÍO NEGRO,El Bolson,Paraje Manso Inferior,,Sin Teléfono,,Lunes a Viernes de 8 a 13 hs,Centro Integrador Comunitario,-41.967770,-71.515511
1519,Juzgado De Paz,RÍO NEGRO,Viedma,Periodistas Argentinos 56,,(02920) 432705,,Lunes a Viernes de 8 a 13 hs,Legal,-40.812154,-62.999335
1520,Comisaría 33°,RÍO NEGRO,Allen,Perito Moreno y Mascardi,,(0298) 4452501,,24 hs,Comisaria,-38.9657593,-67.83233640000003
1521,Acción Social,RÍO NEGRO,Mainque,Paraje 19 S/N,,(0298) 4481444,,Lunes a Viernes de 8 a 13 hs,Mujer,-39.0646019,-67.30372620000003
1522,Oficina De Trabajo Social,RÍO NEGRO,General Roca,Gelonch 721 y Avenida Roca,,(0298) 4435852 (interno: 166),,Lunes a Viernes de 8 a 13 hs,Mujer,-39.026754,-67.575173
1523,Centro Periférico La Rivera,RÍO NEGRO,General Roca,Primeros Pobladores S/N,,Sin Teléfono,,24 hs,Salud,-38.925907,-67.984995
1524,Municipalidad,RÍO NEGRO,Chinchinales,Proceres Argentinos E Inmigrantes,,(0298) 4491166,,Lunes a Viernes de 8 a 13 hs,Mujer,-39.1143379,-66.94130710000002
1525,Acción Social,RÍO NEGRO,Cinco Saltos,Rivadavia 1071,,(0299) 4980260,,Lunes a Viernes de 8 a 14 hs,Mujer,-38.8265381,-68.0671997
1526,Municipalidad,RÍO NEGRO,Villa Regina,Rivadavia 220,,(0298) 4464550,,Lunes a Viernes de 8 a 13 hs,Mujer,-39.1003418,-67.08779909999998
1527,Secretaría De Desarrollo Humano,RÍO NEGRO,San Carlos De Bariloche,Rivadavia 530,,(0294) 4436327,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-41.133472,-71.310278
1528,Defensoria Civil,RÍO NEGRO,Cipolletti,Roca y Sarmiento (2° P),,(0299) 4772265/4784454/4773304,,Lunes a Viernes de 7:30 a 13:30 hs,Legal,-38.934101,-68.000709
1529,Centro Integrador Comunitario,RÍO NEGRO,El Bolson,Rural S/N,,(0294) 4498291,,Lunes a Viernes de 8 a 13 hs,Centro Integrador Comunitario,-41.967770,-71.515511
1530,Centro Periférico Paso Córdoba,RÍO NEGRO,General Roca,Ruta 6,,Sin Teléfono,,24 hs,Salud,-39.115357,-67.631929
1531,Unidad Fiscal De Atención Primaria,RÍO NEGRO,General Roca,San Luis 853 (PB),,(0298) 4439963/4439900 (interno: 2263),,Lunes a Viernes de 8 a 13 hs,Legal,-38.929625,-68.007875
1532,Juzgado De Familia Nº 11,RÍO NEGRO,General Roca,San Luis 853 (PB),,(0298) 4439954/4439900 (interno: 2254),,Lunes a Viernes de 8 a 13 hs,Legal,-38.929625,-68.007875
1533,Juzgado De Familia Nº 16,RÍO NEGRO,General Roca,San Luis 853 (PB),,(0298) 4439916/443900 (interno: 2412),,Lunes a Viernes de 8 a 13 hs,Legal,-38.929625,-68.007875
1534,Centro De Desarrollo Infantil “Rayito De Sol”,RÍO NEGRO,General Roca,San Luis 931,,(0298) 4431421,,Sabado de 8 a 14 hs,Niñez / Familia,-38.929023,-68.007876
1535,Unidad De Violencia Familiar,RÍO NEGRO,General Roca,San Luis y Avenida Roca (5ºP),,(0298) 4439900 (interno: 2309),,Lunes a Viernes de 7:30 a 13:30 hs,Mujer,-38.938951,-67.997712
1536,Acción Social,RÍO NEGRO,Cervantes,San Martin 267,,(0298) 4493082 (interno: 207),,Lunes a Viernes de 8 a 13 hs,Mujer,-39.052124,-67.38983150000001
1537,Juzgado De Paz,RÍO NEGRO,General Roca,San Martín 867,,(0298) 4434606,,Lunes a Viernes de 8 a 13 hs,Legal,-38.941519,-67.990350
1538,Juzgado De Paz,RÍO NEGRO,Cipolletti,Sarmiento 360,,(0299) 4785580,,Lunes a Viernes de 7:30 a 13:30 hs,Legal,-38.938062,-67.99298
1539,Comisaría 3°,RÍO NEGRO,General Roca,Sarmiento y 25 De Mayo 700,,(0298) 4436711,,24 hs,Comisaria,-38.933019,-67.998554
1540,"Instituto Nacional Contra La Discriminación, La Xenofobia Y El Racismo",RÍO NEGRO,San Carlos De Bariloche,Tiscornia 320,,(0294) 4436112,rionegro@inadi.gov.ar,Lunes a Viernes de 9 a 13 hs,Mujer,-41.133472,-71.310278
1541,Destacamento,RÍO NEGRO,General Roca,Tucumán 5545,,(0298) 4429465,,24 hs,Comisaria,-38.934308,-68.003789
1542,Secretaria De Desarrollo Social,RÍO NEGRO,Rio Colorado,Urquiza 246,,(02931) 432326,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.9934616,-64.0947266
1544,Oficina De La Mujer “ La Matra”,RÍO NEGRO,Villa Regina,Uspallara S/N,,Sin Teléfono,,"Lunes, Miercoles y Viernes de 8 a 14 hs , Martes y Jueves 14 a 17 hs",Mujer,-39.1003418,-67.08779909999998
1545,Centro Periférico 250 Viviendas,RÍO NEGRO,General Roca,Usuhaia y Epifanio,,Sin Teléfono,,24 hs,Salud,-39.026753,-67.575172
1546,Secretaria De Desarrollo Social,RÍO NEGRO,Allen,Villegas 375,,(0298) 4452716,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.9657593,-67.83233640000003
1547,Consejo De Las Mujeres,RÍO NEGRO,General Roca,Villegas y Avenida Roca,,(0298) 4432005 (interno: 2840) /4431400,,Lunes a Viernes de 8 a 13 hs,Mujer,-38.938950,-67.997711
1548,Centro Periférico Stefenelli,RÍO NEGRO,General Roca,Vinter 365,,Sin Teléfono,,24 hs,Salud,-38.959147,-68.047888
1549,Comisaria De La Familia,RÍO NEGRO,General Roca,25 De Mayo y Sarmiento,,(0298) 4436704,,24 hs,Comisaria Mujer,-39.026753,-67.575172
1551,Municipalidad,RÍO NEGRO,Ingeniero Jacobacci,Julio A. Roca 181,,(02940) 432133,,Lunes a Viernes de 8 a 13 hs,Mujer,-41.328526,-69.549301
1552,Municipalidad,RÍO NEGRO,San Carlos De Bariloche,Centro Cívico,,(0294) 4422807/4422412,,Lunes a Viernes de 8 a 13 hs,Mujer,-41.133472,-71.310278
1553,Casa Amulen,RÍO NEGRO,San Carlos De Bariloche,Sin Dirección Física,,(0294) 4435054/4424847,,Lunes a Viernes de 8 a 13 hs,Mujer,-41.133472,-71.310278
1554,Hospital “Dr. Díaz Perreiro”,CHACO,Machagay,Avenida Argentina 435,,(03734) 470162,,24 hs,Salud,-26.932980,-60.051270
1555,Hospital “Almirante Brown”,CHACO,Pampa Del Infierno,Rawson S/N,,(0364) 4497251,,24 hs,Salud,-26.504110,-61.175987
1556,Hospital Rural “Taco Pozo”,CHACO,Taco Pozo,Avenida San Martin S/N,,(03877) 495019,,24 hs,Salud,-25.616480,-63.268055
1557,Hospital Rural “Concepción Del Bermejo”,CHACO,Concepcion Del Bermejo,Mariano Moreno 2,,(0364) 4493176,,24 hs,Salud,-26.603390,-60.943909
1558,Hospital Rural “Los Frentones”,CHACO,Los Frentones,9 De Julio S/N,,(0364) 4490191/90,,24 hs,Salud,-26.406479,-61.414616
1559,Hospital Rural Dr. Ángel R. Bitti,CHACO,General Vedia,Avenida San Martin S/N,,(0362) 4498810,,24 hs,Salud,-26.932980,-58.661499
1560,"Hospital ""Dr. A. Fleming""",CHACO,La Leonesa,Juan Chema 462,,(0362) 4470027,,24 hs,Salud,-27.038855,-58.700386
1561,Hospital “Dr. Ernesto Merlo”,CHACO,Puerto Bermejo,Planta Urbana,,(03624) 494049,,24 hs,Salud,-26.928618,-58.506722
1562,Unidades De Seguimiento Familiar,CHACO,Charata,Sin Dirección Física,,102,,Lunes a Viernes de 8 a 13 hs,Niñez / Familia,-27.217990,-61.187362
1563,Hospital “Dr. E.V De Llamas,CHACO,Charata,Castex S/N,,(03731) 420070,,24 hs,Salud,-27.217991,-61.187363
1564,Juzgado Del Menor De Edad Y La Familia,CHACO,Charata,De Carlo 645 (2°P),,(03731) 423042,,Lunes a Viernes de 8 a 13 hs,Legal,-27.217992,-61.187364
1565,Hospital Rivadavia,CHACO,Colonia Unidas,Doctor Fleming y Rivadavia,,(03725) 496046,,24 hs,Salud,-26.699520,-59.633789
