codigo,titulo,organismo,en_que_consiste,requisitos,como_se_hace_el_tramite,quien_puede_o_debe_efectuarlo,que_vigencia_tiene_el_documento,cuantas_veces_deberia_asistir_al_organismo,tiempo_desde_la_solicitud_hasta_la_entrega,donde_se_puede_realizar,cuando_es_necesario_realizar_el_tramite,observaciones
599,Reclamo sobre el servicio de electricidad por afectar al medio ambiente,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando el usuario considera que no se le ha brindado un tratamiento adecuado por parte de la Distribuidora del Servicio Eléctrico al realizar su denuncia relacionada con daños al medio ambiente.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Datos de las instalaciones por las que se generó el reclamo (entre qué calles, localidad, barrio, partido, código postal)  5.- Número de reclamo iniciado en la Distribuidora.  Recomendación General: es conveniente adjuntar una nota confeccionada por el usuario donde se explique cuál fue el problema sufrido, con la mayor cantidad de datos personales posibles.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs.  - Personalmenteen Suipacha 615, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
862,Reclamo por problemas en las instalaciones de la distribuidora del servicio de electricidad,Ente Nacional Regulador de la Electricidad,"Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora no mantiene en buenas condiciones sus instalaciones, y el usuario considera que no se le ha brindado un tratamiento adecuado.","1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y 1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs.  - Personalmenteen Suipacha 615, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
883,Reclamo por remoción de instalaciones del servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando un usuario solicita el traslado de su instalación y la empresa no accede en tiempo y forma a la misma.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  Recomendación General: es conveniente adjuntar una nota confeccionada por el usuario donde se explique cuál fue el problema sufrido, con la mayor cantidad de datos personales posibles.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs.  - Personalmenteen Suipacha 615, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguirntes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
971,Reclamo a la empresa distribuidora de electricidad por ocupación de terreno del reclamante,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora ocupa con sus instalaciones el terreno del usuario.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante.  2.- Número de identificador según la Distribuidora: - En EDESUR: número de cliente. - En EDENOR: número de cuenta.  3.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  4.- Número de reclamo iniciado en la Distribuidora.  5.- Motivo del reclamo.  ","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs.  - Personalmenteen Suipacha 615, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs. - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
990,Reclamo al servicio de electricidad por resarcimiento por daños en computadoras,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando la distribuidora daña la/s computadora/s del usuario por deficiencias en la red eléctrica.,"1.- Nombre, domicilio completo y teléfono. En caso de no ser el titular del servicio, si se trata de un reclamo por objeción de facturas o daños en artefactos, acreditar su condición de usuario no titular (con contrato de locación, escritura, certificado de domicilio, etc.)  2.- Domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.  3.- Número de identificador (en EDESUR S.A., número de cliente; en EDENOR S.A., número de cuenta.  4.- Constancia o nota de respuesta del reclamo realizado en la Distribuidora.  5.- Formulario de daños firmado   Formulario de reclamo por daños.  Requisitos que deben cumplir los presupuestos o facturas de reparación de computadoras 1.- Estar dirigido a nombre del usuario reclamante.  2.- Fecha en que se revisó o reparó la computadora o periférico.  3.- Datos de identificación del prestador del servicio (nombre, domicilio, teléfono, CUIT, etc.).  4.- En todos los casos los presupuestos a presentar tendrán que ser realizados en hoja membretada del servicio técnico y deberán contar con la firma y la aclaración del técnico interviniente.  5.- Deberán contar con una descripción detallada y completa que incluya todas las características de cada uno de los componentes que conforman la PC dañada (motherboard, placas, memorias, disco rígido, etc.).  6.- Se deberá indicar cuáles de los componentes antes mencionados fueron dañados y las posibles causas.  7.- En el caso en que el daño producido en el componente fuera de gran magnitud y el servicio técnico determine su irreparabilidad, el mismo tendrá que justificarla técnicamente.  8.- Deberán contar con una descripción de los componentes a colocar en lugar de los dañados, indicando los motivos de los reemplazos y en caso de utilizar un componente superior al que tenía la máquina dañada se deben especificar las razones.  9.- Deberá detallarse el costo en PESOS de cada uno de los componentes a utilizar en reemplazo de los dañados.  10.- Deberá discriminarse el costo de la mano de obra.  11.- En el caso de dañarse el monitor, la impresora, el scanner o cualquier otro periférico de la computadora, se deberá realizar un informe detallado de los daños sufridos en los mismos donde se indiquen los componentes que fueron afectados y las posibles causas.","1.- En primer término el reclamante deberá efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz.  2.- Si la Distribuidora no responde dentro de los 10 días hábiles administrativos o su respuesta es insatisfactoria, podrá contactarse con el ENRE:  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs.  - Personalmenteen Suipacha 615, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.","El tiempo desde la solicitud hasta la entrega será de 150 días de iniciado el reclamo, y el tiempo promedio de resolución es de 100 días.","- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
1044,Reclamo por problemas de seguridad pública en el servicio de electricidad,Ente Nacional Regulador de la Electricidad,Solicitar la intervención del Ente Nacional Regulador de la Electricidad (ENRE) cuando se producen problemas de seguridad pública.,"1.- Nombre, domicilio (entre calles, localidad, barrio, partido, código postal), y teléfono del reclamante (propio o de un vecino).  2.- Los datos de la(s) instalación(es) por las que efectúa el reclamo (calle y altura, entre qué calles, localidad, barrio, partido), y descripción detallada de la anomalía observada.","1.- Recuerde que, ante situaciones de riesgo, las distribuidoras cuentan con los medios necesarios para normalizar la instalación y tienen la obligación de actuar en forma inmediata. Por eso no deje de contactarlas a los siguientes teléfonos:  EDENOR: a) Área Morón: 0800-666-4001 b) Área Norte: 0800-666-4002 c) Área Olivos: 0800-666-4003 d) Área Pilar: 0800-666-4004 Para mayores datos consulte la página Web de EDENOR.  EDESUR: 0800-333-3787(EDESUR). Para mayores datos consulte la página Web de  EDESUR.  2.- Si la Distribuidora no responde, podrá contactarse con el ENRE:  - Por Internet, completando el formulario de reclamo a través de la  página web del ENRE, opción ""El ENRE y la Seguridad Pública, Reclamos >vía Internet<"".  - Telefónicamente a través de la línea gratuita 0800-333-3000, Centro de Atención Telefónica del ENRE, de Lunes a Viernes las 24 hs.  - Por fax a través de la línea gratuita 0800-333-5962, de Lunes a Viernes de 9:00 a 16:00 hs.  - Personalmenteen Suipacha 615, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.  - Por Correo Postal, a Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires o al Apartado Gratuito N° 505 del Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,"Debería asistir UNA vez, si se realiza personalmente.",,"- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos: - Recurso de Reconsideración ante el ENRE. - Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
2183,Reclamo por Factor de Estabilización,Ente Nacional Regulador de la Electricidad,"Efectuar un reclamo sobre el Factor de Estabilización.Este factor se aplica a los consumos de los usuarios residenciales de las empresas distribuidoras Edenor S.A. y Edesur S.A., y ha sido implementado por el Estado Nacional con el fin de estabilizar, a lo largo del año, el monto que el usuario abona por sus consumos de electricidadEl cálculo de dicho factor surge del promedio de los importes facturados en la cuenta en los últimos seis bimestres. Los ajustes que deban realizarse en función de las diferencias entre lo facturado (en el período estabilizado) y lo que correspondía facturar, se reflejan en la última factura del año calendario, como crédito o débito, según corresponda.","1.- Nota del Usuario Titular (o &ldquo;NO TITULAR&rdquo;), acreditando su condición, nombre, domicilio (entre calles, localidad, barrio, partido, código postal),  teléfono del reclamante y motivo del reclamo2.- Número de identificador según la Distribuidora:- En EDESUR: número de cliente.- En EDENOR: número de cuenta.3. Constancia del Reclamo previo realizado ante la Distribuidora (y/o respuesta negativa recibida).4.- Factura objetada.5.- El domicilio donde desea que el ENRE le remita las comunicaciones relativas a su reclamo.","1.- Efectuar su queja ante la Distribuidora del Servicio Eléctrico, cuyas direcciones y números telefónicos encontrará en su factura de luz. 2.- Si la Distribuidora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENRE:- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.","El titular del suministro, el usuario que acredite su condición de tal o quien lo represente debidamente.",,Debería asistir UNA vez:1.-  Presentar la documentación.,150 días de iniciado el reclamo. El tiempo promedio de resolución es de 100 días.,"- Personalmente: Atención de Usuarios, Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, de lunes a viernes de 9:00 a 18:00 hs.- Telefónicamente: 0800-333-3000.- Fax: 0800-333-5962.- Por Correo Postal: dirigirse al ""Departamento de Atención de Usuarios"" Suipacha 615, C1008AAM, Ciudad Autónoma de Buenos Aires, o al Apartado Postal Nº 505, (1000), Correo Argentino.",,"Contra las resoluciones del ENRE los afectados pueden interponer los siguientes recursos:- Recurso de Reconsideración ante el ENRE.- Recurso de Alzada, cuya presentación se realiza ante el ENRE y será resuelto por la Secretaría de Energía."
137,Reclamo por mala atención al reclamante por parte de la prestadora de gas,Ente Nacional Regulador del Gas,"Reclamar ante el Ente Nacional Regulador del Gas (ENARGAS) por considerar incorrecta la atención brindada al reclamante por personal de la Prestadora, a fin de lograr una explicación y/o disculpa.","1.- Constancia del reclamo formulado ante la Prestadora.
2.- Descripción del reclamo.","1.- En primer término el reclamante deberá efectuar el reclamo ante la Prestadora del Servicio a fin de lograr la inmediata intervención de esta.
Puede consultar las direcciones y números telefónicos de la Empresa en su factura de gas.
IMPORTANTE: exija el número de reclamo correspondiente y el plazo estimativo para la resolución, datos que la Prestadora está obligada a proporcionarle.

2.- Si Distribuidora no responde dentro de 15 días de realizado el reclamo o su respuesta es insatisfactoria, podrá contactarse con el ENARGAS:
- Personalmente en las delegaciones correspondientes días hábiles de 10:00 a 17:00 hs.
- telefónico o por fax: 0800-333-4444, mismo horario
- Por Correo Postal gratuito: Apartado Especial 600 (C1000WAF) Correo Central
- Correo electrónico: reclamos@enargas.gov.ar
- Página web del ENARGAS.
IMPORTANTE: siempre conserve el número de su reclamo ante la Prestadora.",El cliente y/o el usuario.,,"Debería asistir UNA vez, si se realiza personalmente.","Dentro de los 20 días de iniciado el trámite, se enviará por correo certificado una respuesta al domicilio del reclamante, otorgándole un plazo para que conteste por escrito en caso de no estar conforme con la misma.",Consulte cual es la sede más próxima a su domicilio.,,
512,Reclamo por demora en atender solicitud de cierre del suministro de gas,Ente Nacional Regulador del Gas,"Reclamar ante el Ente Nacional Regulador del Gas (ENARGAS) por la falta de atención a una solicitud de cierre del suministro de gas, a fin de lograr la solución por parte de la Prestadora.",1.- Constancia del reclamo formulado ante la Prestadora. 2.- Descripción del reclamo.,"1.- En primer término el reclamante deberá efectuar el reclamo ante la Prestadora del Servicio, cuyas direcciones y números telefónicos encontrará en su factura de gas. IMPORTANTE: exija el número de reclamo correspondiente y el plazo estimativo para la resolución, datos que la Prestadora está obligada a proporcionarle.  2.- Si la Distribuidora no responde luego de 15 días de realizado el reclamo o la contestación es insatisfactoria, podrá contactarse con el ENARGAS: - Personalmente en las delegaciones correspondientes días hábiles de 10:00 a 17:00 hs. - Telefónicamente o por fax: 0800-333-4444, mismo horario - Por Correo Postal gratuito: Apartado Especial 600 (C1000WAF) Correo Central - Correo electrónico: reclamos@enargas.gov.ar - Página web del ENARGAS: http://www.enargas.gov.ar/Mail/Reclamos/  IMPORTANTE: siempre conserve el número de su reclamo ante la empresa prestadora.",El cliente y/o el usuario.,,"Debería asistir UNA vez, si se realiza personalmente.","La solución deberá ser provista por la Prestadora.  La respuesta al reclamante, el ENARGAS, la emitirá al recibirse la contestación de la Prestadora y se enviará al domicilio del reclamante, por correo certificado, otorgando un plazo para que responda por escrito en caso de no resultar conforme con la misma.",Consulte cual es la sede más próxima a su domicilio.,,
515,Reclamo por datos de usuario incorrectos en la factura de gas,Ente Nacional Regulador del Gas,"Reclamar ante el Ente Nacional Regulador del Gas (ENARGAS) por un error en los datos del usuario que figuran en la factura, cuyo reclamo ante la Prestadora no ha sido satisfecho.  IMPORTANTE: MIENTRAS SE TRAMITA EL RECLAMO EL RECLAMANTE NO ESTARÁ OBLIGADO A ABONAR LA/S FACTURA/S RECLAMADA/S.",1.- Constancia del reclamo formulado ante la Prestadora. 2.- Copia de factura con el error (optativo). 3.- Descripción del reclamo.,"1.- En primer término el reclamante deberá efectuar el reclamo ante la Prestadora del Servicio, cuyas direcciones y números telefónicos encontrará en su factura de gas.  IMPORTANTE: exija el número de reclamo correspondiente y el plazo estimativo para la resolución, datos que la Prestadora está obligada a proporcionarle.  2.- Si la Prestadora no responde luego de 15 días o su respuesta es insatisfactoria, contáctese con el ENARGAS: - Personalmente en las delegaciones correspondientes días hábiles de 10:00 a 17:00 hs. - Telefónicamente o por fax: 0800-333-4444, mismo horario - Por Correo Postal gratuito: Apartado Especial 600 (C1000WAF) Correo Central - Correo electrónico: reclamos@enargas.gov.ar - Página web del ENARGAS: http://www.enargas.gov.ar/Mail/Reclamos/  IMPORTANTE: siempre conserve el número de su reclamo.",El cliente y/o el usuario.,,"Debería asistir UNA vez, si se realiza personalmente.","La respuesta, proveyendo una solución, se emitirá dentro de los 20 días de iniciado el trámite y se enviará al domicilio del reclamante, por correo certificado, otorgándole un plazo para que responda por escrito en caso de no resultar conforme con la misma. Ante manifestación de disconformidad, de corresponder, se reiterará el reclamo.",Consulte cual es la sede más próxima a su domicilio.,,
556,Reclamo por deuda inexistente en la factura del servicio de gas,Ente Nacional Regulador del Gas,"Reclamar ante el Ente Nacional Regulador del Gas (ENARGAS) por una deuda inexistente que le requiere la Prestadora, cuando el reclamo ante ésta no haya sido satisfecho.
IMPORTANTE: MIENTRAS SE TRAMITA EL RECLAMO EL RECLAMANTE NO ESTARÁ OBLIGADO A ABONAR LA/S FACTURA/S RECLAMADA/S.","1.- Constancia del reclamo formulado ante la Prestadora.
2.- Reclamo de deuda recibido (optativo).
3.- Descripción del reclamo.","1.- En primer término, el reclamante deberá efectuar su queja ante la Prestadora del servicio. Puede consultar las direcciones y números telefónicos de la empresa en su factura de gas.
IMPORTANTE: exija el número de reclamo correspondiente y el plazo estimativo para la resolución, datos que la Prestadora está obligada a proporcionarle.
2.- Si la Prestadora no responde luego de 15 días o su respuesta es insatisfactoria, contáctese con el ENARGAS:
- Personalmente en las delegaciones correspondientes días hábiles de 10:00 a 17:00 hs.
- Telefónicamente o por fax: 0800-333-4444, mismo horario
- Por Correo Postal gratuito: Apartado Especial 600 (C1000WAF) Correo Central
- Correo electrónico: reclamos@enargas.gov.ar
- Página web del ENARGAS:  http://www.enargas.gov.ar
IMPORTANTE: siempre conserve el número de su reclamo.",El cliente y/o el usuario.,,"Debería asistir UNA vez, si se realiza personalmente.","Dentro de los 20 días de iniciado el trámite, se enviará por correo certificado una respuesta al domicilio del reclamante, otorgándole un plazo para que responda por escrito en caso de no estar conforme con la misma.",Consulte cual es la sede más próxima a su domicilio.,,
557,Reclamo por error en el período de facturación del servicio de gas,Ente Nacional Regulador del Gas,"Reclamar ante el Ente Nacional Regulador del Gas (ENARGAS) por un error en el período de facturación del consumo, cuando el reclamo ante la Prestadora no haya sido satisfecho.
IMPORTANTE: MIENTRAS SE TRAMITA EL RECLAMO EL RECLAMANTE NO ESTARÁ OBLIGADO A ABONAR LA/S FACTURA/S RECLAMADA/S.","1.- Constancia del reclamo formulado ante la Prestadora.
2.- Constancia de la factura con el error (optativo).
3.- Descripción del reclamo.","1.- En primer término el reclamante deberá efectuar el reclamo ante la Prestadora del Servicio. Puede consultar las direcciones y números telefónicos de la empresa en su factura de gas.
IMPORTANTE: exija el número de reclamo correspondiente y el plazo estimativo para la resolución, datos que la Prestadora está obligada a proporcionarle.
2.- Si la Prestadora no responde dentro de los 15 días o su respuesta es insatisfactoria, podrá contactarse con el ENARGAS:
- Personalmente en las delegaciones correspondientes días hábiles de 10:00 a 17:00 hs.
- Telefónicamente o por fax: 0800-333-4444, mismo horario.
- Por Correo Postal gratuito: Apartado Especial 600 (C1000WAF) Correo Central
- Correo electrónico: reclamos@enargas.gov.ar
- Página web del ENARGAS.
IMPORTANTE: siempre conserve el número de su reclamo.",El cliente y/o el usuario.,,"Debería asistir UNA vez, si se realiza personalmente.","Dentro de los 20 días de iniciado el trámite, se enviará por correo certificado una respuesta al domicilio del reclamante, otorgándole un plazo para que responda por escrito en caso de no estar conforme con la misma.",Consulte cual es la sede más próxima a su domicilio.,,
558,Reclamo por escaso suministro (sin gas/poco gas),Ente Nacional Regulador del Gas,"Reclamar ante el Ente Nacional Regulador del Gas (ENARGAS) por escaso suministro de gas, con o sin la interrupción total del mismo, cuando el reclamo ante la Prestadora no haya sido atendido.",1.- Constancia del reclamo formulado ante la Prestadora. 2.- Descripción del reclamo.  Nota: al momento de realizar la inspección para rehabilitar el servicio deberá haber en la vivienda un mayor de edad.,"1.- En primer término el reclamante deberá efectuar su queja ante la Prestadora del Servicio, cuyas direcciones y números telefónicos encontrará en su factura de gas. IMPORTANTE: exija el número de reclamo correspondiente y el plazo estimativo para la resolución, datos que la Distribuidora está obligada a proporcionarle.  2.- Si la Prestadora no responde luego de un día de realizada la queja o su respuesta es insatisfactoria, podrá contactarse con el ENARGAS: - Personalmente en las delegaciones correspondientes días hábiles de 10:00 a 17:00 hs. - Telefónicamente o por fax: 0800-333-4444, mismo horario - Por Correo Postal gratuito: Apartado Especial 600 (C1000WAF) Correo Central - Correo electrónico: reclamos@enargas.gov.ar - Página web del ENARGAS: http://www.enargas.gov.ar/Mail/Reclamos/  IMPORTANTE: siempre conserve el número de su reclamo ante la empresa prestadora.",El cliente y/o el usuario.,,"Una vez, si el reclamo lo hace personalmente.","El ENARGAS le enviará al domicilio del reclamante la respuesta de la Prestadora, por correo certificado, otorgando un plazo para que responda por escrito en caso de no resultar conforme con la misma.",Consulte cual es la sede más próxima a su domicilio.,,
